ID_POSLA,SIFRA_KO,IME_KO,OBCINA,PARCELNA_STEVILKA,VRSTA_ZEMLJISCA,VRSTA_TRAJNEGA_NASADA,STAROST_TRAJNEGA_NASADA,PRODANI_DELEZ_PARCELE,OPOMBE_O_NEPREMICNINI,POVRSINA_PARCELE,POGODBENA_CENA_PARCELE,STOPNJA_DDV_PARCELE,E_CENTROID,N_CENTROID,LETO,RPE_OBCINE_SIFRA
-53495,1736,BRINJE I,LJUBLJANA,323/1,5,,,1/1,,408,,,,,2007,61
-53454,1723,VIČ,LJUBLJANA,451/2,10,,,1/1,,2141,,,459535.22,100935.72,2007,61
-53454,1723,VIČ,LJUBLJANA,452/1,10,,,1/1,,60,,,459591.73,100975.06,2007,61
-53454,1723,VIČ,LJUBLJANA,454/1,10,,,1/1,,649,,,459593.76,100989.25,2007,61
-53454,1723,VIČ,LJUBLJANA,468,10,,,1/1,,701,,,459619.4,101000.64,2007,61
-53454,1723,VIČ,LJUBLJANA,467,10,,,1/1,,98,,,459622.19,100989.28,2007,61
-53454,1723,VIČ,LJUBLJANA,450,10,,,1/1,,396,,,459597.42,101039.57,2007,61
-53454,1723,VIČ,LJUBLJANA,454/2,10,,,1/1,,16,,,459589.26,100971.03,2007,61
-53454,1723,VIČ,LJUBLJANA,466,10,,,1/1,,691,,,459625.1,100978.3,2007,61
-53430,1730,MOSTE,LJUBLJANA,971/25,10,,,1/1,,1852,,,464179.85,102028.55,2007,61
-53428,1740,SPODNJA ŠIŠKA,LJUBLJANA,958/2,10,,,1/1,,531,,,460772.7,103139.05,2007,61
-53397,1982,ŠUJICA,LJUBLJANA,356/4,3,,,1/1,,230,,,457870.83,100688.44,2007,61
-53397,1982,ŠUJICA,LJUBLJANA,356/6,3,,,1/1,,357,,,457882.8,100698.1,2007,61
-53397,1982,ŠUJICA,LJUBLJANA,349/39,3,,,1/1,,372,,,457878.84,100674.2,2007,61
-53397,1982,ŠUJICA,LJUBLJANA,356/5,5,,,1/1,,101,,,,,2007,61
-53382,1739,ZGORNJA ŠIŠKA,LJUBLJANA,58/4,5,,,1/1,,26,,,,,2007,61
-53319,1994,DOBROVA,LJUBLJANA,2035/22,5,,,1/1,,15,,,,,2007,61
-53311,1994,DOBROVA,LJUBLJANA,641/4,3,,,1/1,,869,,,451224.9,100006.31,2007,61
-53204,1716,ULAKA,LJUBLJANA,613/3,9,,,1/1,,1189,,,469704.72,78333.42,2007,61
-53204,1716,ULAKA,LJUBLJANA,613/2,10,,,1/1,,1280,,,469735.16,78308.26,2007,61
-53160,1710,GRADIŠČE,LJUBLJANA,675/18,3,,,1/1,,1111,,,467388.64,88172.33,2007,61
-53053,1776,LIPOGLAV,LJUBLJANA,1518/5,7,,,1/1,,26,,,473011.54,97133.42,2007,61
-53053,1776,LIPOGLAV,LJUBLJANA,1518/5,7,,,1/1,,26,,,473011.54,97133.42,2007,61
-53050,1776,LIPOGLAV,LJUBLJANA,1520/6,7,,,1/1,,1221,,,473026.2,97169.83,2007,61
-53002,1738,DRAVLJE,LJUBLJANA,368/2,5,,,1/1,,363,,,,,2007,61
-53002,1738,DRAVLJE,LJUBLJANA,368/5,5,,,1/1,,162,,,,,2007,61
-52983,2636,BEŽIGRAD,LJUBLJANA,1409/33,10,,,1/1,,63,,,463227.41,102848,2007,61
-52969,1776,LIPOGLAV,LJUBLJANA,1518/4,7,,,1/1,,556,,,472999.93,97129.76,2007,61
-52958,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,905/11,3,,,1/1,,377,,,461761.56,99252.87,2007,61
-52958,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,905/32,3,,,1/1,,16,,,461758.98,99265.45,2007,61
-52944,1771,ZADOBROVA,LJUBLJANA,903/4,5,,,1/1,,272,,,,,2007,61
-52944,1771,ZADOBROVA,LJUBLJANA,894/3,5,,,1/1,,46,,,,,2007,61
-52944,1771,ZADOBROVA,LJUBLJANA,895/4,5,,,1/1,,163,,,,,2007,61
-52633,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,1689/901,5,,,1/1,,59,,,,,2007,61
-52633,1722,TRNOVSKO PREDMESTJE,LJUBLJANA,1689/902,5,,,1/1,,251,,,,,2007,61
-52603,1736,BRINJE I,LJUBLJANA,840/60,5,,,1/1,,156,,,,,2007,61
-52569,2679,GRADIŠČE II,LJUBLJANA,143/132,5,,,1/1,,142,,,,,2007,61
-52537,1739,ZGORNJA ŠIŠKA,LJUBLJANA,1104/1,5,,,1/1,,1272,,,,,2007,61
-52537,1739,ZGORNJA ŠIŠKA,LJUBLJANA,1104/23,5,,,1/1,,143,,,,,2007,61
-26500,1739,ZGORNJA ŠIŠKA,LJUBLJANA,379/2,3,,,1/1,,429,,,459055.75,103607.47,2007,61
-26500,1739,ZGORNJA ŠIŠKA,LJUBLJANA,379/9,3,,,1/1,,71,,,459040.51,103599.54,2007,61
-26500,1739,ZGORNJA ŠIŠKA,LJUBLJANA,379/13,3,,,1/1,,34,,,459057.64,103606.41,2007,61
-26490,1741,VODICE,LJUBLJANA,1267/4,3,,,1/1,,571,,,460332.45,116473.57,2007,61
-26490,1741,VODICE,LJUBLJANA,1270/16,3,,,1/1,,42,,,460333.25,116453.02,2007,61
-26488,1741,VODICE,LJUBLJANA,1270/33,3,,,1/1,,540,,,460452.99,116428.42,2007,61
-26486,1756,ČRNUČE,LJUBLJANA,141/5,3,,,1/2,,705,,,463429.36,107012.48,2007,61
-26486,1756,ČRNUČE,LJUBLJANA,141/10,3,,,1/3,,344,,,463420.45,107008,2007,61
-26330,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,98/1,5,,,1/1,,1168,,,,,2007,61
-26330,1695,KARLOVŠKO PREDMESTJE,LJUBLJANA,98/5,5,,,1/1,,255,,,,,2007,61
-26308,2636,BEŽIGRAD,LJUBLJANA,1348/1,3,,,1/6,,2619,,,463166.9,103318.58,2007,61
-26289,1730,MOSTE,LJUBLJANA,318/2,5,,,1/3,,241,,,,,2007,61
-26283,1728,LJUBLJANA MESTO,LJUBLJANA,*53,5,,,1/1,,281,,,,,2007,61
-26283,1728,LJUBLJANA MESTO,LJUBLJANA,72,5,,,1/1,,408,,,,,2007,61
-26283,1728,LJUBLJANA MESTO,LJUBLJANA,73,5,,,1/1,,452,,,,,2007,61
-26270,1736,BRINJE I,LJUBLJANA,397/2,5,,,1/1,,729,,,,,2007,61
-26270,1736,BRINJE I,LJUBLJANA,397/5,5,,,1/1,,44,,,,,2007,61
-26225,1725,AJDOVŠČINA,LJUBLJANA,3192/1,5,,,NP,,470,,,,,2007,61
-26225,1725,AJDOVŠČINA,LJUBLJANA,3194/3,5,,,NP,,120,,,,,2007,61
-26078,1723,VIČ,LJUBLJANA,711,5,,,1/1,,381,,,,,2007,61
-26048,1736,BRINJE I,LJUBLJANA,346/1,3,,,1/1,,793,,,462363.67,104471.87,2007,61
-26048,1736,BRINJE I,LJUBLJANA,346/1,5,,,1/1,,793,,,,,2007,61
-26034,1778,VOLAVLJE,LJUBLJANA,2556/2,3,,,1/1,,966,,,476288.05,100811.82,2007,61
-25971,1753,VIŽMARJE,LJUBLJANA,273/1,3,,,1/1,,181,,,458857.07,108427.99,2007,61
-25971,1753,VIŽMARJE,LJUBLJANA,274,3,,,1/1,,275,,,458872.01,108414.5,2007,61
-25971,1753,VIŽMARJE,LJUBLJANA,273/2,5,,,1/1,,60,,,,,2007,61
-25968,1738,DRAVLJE,LJUBLJANA,1480/17,3,,,1/1,,299,,,459325.56,104064.72,2007,61
-25950,1723,VIČ,LJUBLJANA,1850/5,3,,,1/1,,3888,,,460303.32,100257.97,2007,61
-25950,1723,VIČ,LJUBLJANA,1850/8,3,,,1/1,,496,,,460287.82,100196.07,2007,61
-25950,1723,VIČ,LJUBLJANA,1850/14,3,,,1/1,,76,,,460238.44,100309.76,2007,61
-25950,1723,VIČ,LJUBLJANA,1850/16,3,,,1/1,,538,,,460293.71,100308.15,2007,61
-25950,1723,VIČ,LJUBLJANA,1850/1,3,,,1/1,,3158,,,460266.51,100253.04,2007,61
